Brand,model,Age,kmDriven,Transmission,Owner,FuelType,AskPrice,Brand_Model,AgeGroup,km_per_year,log_kmDriven
Land Rover,Range Rover,12,23100.0,Automatic,second,Diesel,4795000,Land Rover_Range Rover,Old,1925.0,10.047631185616188
Hyundai,Verna,10,100000.0,Manual,first,Petrol,950000,Hyundai_Verna,Mid,10000.0,11.51293546492023
Hyundai,Elantra,8,88000.0,Manual,second,Diesel,860000,Hyundai_Elantra,Mid,11000.0,11.385103457032141
Porsche,Macan,1,5100.0,Automatic,first,Petrol,8900000,Porsche_Macan,New,5100.0,8.537191877922927
Maruti Suzuki,Ciaz,7,76000.0,Manual,second,Petrol,480000,Maruti Suzuki_Ciaz,Mid,10857.142857142857,11.23850177707664
BMW,X3,5,50000.0,Automatic,second,Diesel,4000000,BMW_X3,Recent,10000.0,10.819798284210286
Mercedes-Benz,M-Class,10,48000.0,Automatic,first,Diesel,1745000,Mercedes-Benz_M-Class,Mid,4800.0,10.778977123006351
Mahindra,XUV700,0,16666.0,Automatic,first,Diesel,2599999,Mahindra_XUV700,New,16666.0,9.721185995542177
Skoda,Kushaq,2,38917.0,Manual,first,Petrol,1225000,Skoda_Kushaq,New,19458.5,10.569212147518101
Maruti Suzuki,Baleno,8,55000.0,Automatic,first,Petrol,655000,Maruti Suzuki_Baleno,Mid,6875.0,10.915106645867503
Nissan,Terrano,9,84000.0,Manual,second,Diesel,500000,Nissan_Terrano,Mid,9333.333333333334,11.338583982516495
Hyundai,Elantra,10,120000.0,Automatic,second,Diesel,550000,Hyundai_Elantra,Mid,12000.0,11.695255355062795
Maruti Suzuki,Ertiga,2,8638.0,Manual,first,Petrol,1150000,Maruti Suzuki_Ertiga,New,4319.0,9.064042114358884
Maruti Suzuki,Swift Dzire,11,62000.0,Manual,second,Petrol,350000,Maruti Suzuki_Swift Dzire,Old,5636.363636363636,11.034905792929415
Maruti Suzuki,Swift Dzire,11,62000.0,Manual,second,Petrol,350000,Maruti Suzuki_Swift Dzire,Old,5636.363636363636,11.034905792929415
Honda,Amaze,10,86131.0,Manual,second,Diesel,300000,Honda_Amaze,Mid,8613.1,11.363636282226498
Maruti Suzuki,Swift,3,29000.0,Automatic,first,Petrol,765000,Maruti Suzuki_Swift,Recent,9666.666666666666,10.275085591132715
MG,ASTOR,0,260.0,Manual,first,Petrol,1495000,MG_ASTOR,New,260.0,5.564520407322694
Hyundai,Verna,1,15120.0,Automatic,first,Petrol,1550000,Hyundai_Verna,New,15120.0,9.623839785112668
Tata,Altroz,3,21000.0,Manual,second,Petrol,535000,Tata_Altroz,Recent,7000.0,9.952325334619427
MG,Hector Plus,2,11000.0,Automatic,first,Petrol,1850000,MG_Hector Plus,New,5500.0,9.305741456739435
Maruti Suzuki,Ciaz,7,63000.0,Manual,first,Petrol,750000,Maruti Suzuki_Ciaz,Mid,9000.0,11.050905878263567
Skoda,Rapid,3,41189.0,Automatic,first,Petrol,1225000,Skoda_Rapid,Recent,13729.666666666666,10.625950787430126
Mahindra,Scorpio-N,2,20000.0,Manual,first,Diesel,1945000,Mahindra_Scorpio-N,New,10000.0,9.90353755128617
Mercedes-Benz,C-Class,13,64000.0,Automatic,second,Diesel,975000,Mercedes-Benz_C-Class,Old,4923.076923076923,11.06665398721974
Kia,Seltos,4,62500.0,Manual,first,Diesel,945000,Kia_Seltos,Recent,15625.0,11.042937835596494
Toyota,Innova,12,121000.0,Manual,first,Diesel,400000,Toyota_Innova,Old,10083.333333333334,11.703554089007538
Maruti Suzuki,Swift,6,38000.0,Manual,second,Petrol,480000,Maruti Suzuki_Swift,Mid,6333.333333333333,10.545367754151743
Mahindra,Thar,3,30000.0,Automatic,first,Diesel,1540000,Mahindra_Thar,Recent,10000.0,10.308985993422082
Maruti Suzuki,Swift-Dzire-Tour,14,130000.0,Manual,second,Diesel,260000,Maruti Suzuki_Swift-Dzire-Tour,Old,9285.714285714286,11.775297421715827
Maruti Suzuki,Wagon-R,3,71000.0,Manual,first,Petrol,475000,Maruti Suzuki_Wagon-R,Recent,23666.666666666668,11.170449240431308
Hyundai,Creta,1,4800.0,Automatic,second,Diesel,1950000,Hyundai_Creta,New,4800.0,8.476579508530941
Maruti Suzuki,Baleno,7,59000.0,Manual,first,Petrol,515000,Maruti Suzuki_Baleno,Mid,8428.57142857143,10.985309671896763
Honda,City,13,75875.0,Automatic,second,Petrol,295000,Honda_City,Old,5836.538461538462,11.236855707846614
Kia,Seltos,4,109000.0,Manual,first,Diesel,975000,Kia_Seltos,Recent,27250.0,11.599112335481124
Mercedes-Benz,E-Class,18,92000.0,Automatic,second,Diesel,500000,Mercedes-Benz_E-Class,Old,5111.111111111111,11.429554725537322
Jaguar,XF,10,41000.0,Automatic,second,Diesel,2525000,Jaguar_XF,Mid,4100.0,10.62135173563291
Maruti Suzuki,XL6,2,76000.0,Manual,first,Petrol,1000000,Maruti Suzuki_XL6,New,38000.0,11.23850177707664
Mini,Cooper 3 DOOR,4,12000.0,Automatic,first,Petrol,4450000,Mini_Cooper 3 DOOR,Recent,3000.0,9.392745258631441
Hyundai,Verna,8,81982.0,Automatic,first,Diesel,695000,Hyundai_Verna,Mid,10247.75,11.314267187680064
Mahindra,Xylo,14,51258.0,Manual,first,Diesel,199000,Mahindra_Xylo,Old,3661.285714285714,10.844646491339164
